PC_Timestamp_ms,PC_DateTime,Arduino_millis,Signal_Value,Package_Num,HR
1764708976261,2025-12-02 15:56:16.261,10942,444,1,0
1764708976270,2025-12-02 15:56:16.270,10961,482,1,0
1764708976281,2025-12-02 15:56:16.281,10982,530,1,0
1764708976293,2025-12-02 15:56:16.293,11001,572,1,0
1764708976317,2025-12-02 15:56:16.317,11022,586,1,0
1764708976329,2025-12-02 15:56:16.329,11041,573,1,0
1764708976336,2025-12-02 15:56:16.336,11062,544,1,0
1764708976348,2025-12-02 15:56:16.348,11081,504,1,0
1764708976377,2025-12-02 15:56:16.377,11102,453,1,0
1764708976387,2025-12-02 15:56:16.387,11121,411,2,0
1764708976394,2025-12-02 15:56:16.394,11142,365,2,0
1764708976425,2025-12-02 15:56:16.425,11162,334,2,0
1764708976433,2025-12-02 15:56:16.433,11182,317,2,0
1764708976441,2025-12-02 15:56:16.441,11202,316,2,0
1764708976449,2025-12-02 15:56:16.449,11222,322,2,0
1764708976479,2025-12-02 15:56:16.479,11242,331,2,0
1764708976490,2025-12-02 15:56:16.490,11261,344,2,0
1764708976497,2025-12-02 15:56:16.497,11282,365,2,0
1764708976522,2025-12-02 15:56:16.522,11301,383,2,0
1764708976531,2025-12-02 15:56:16.531,11322,394,2,0
1764708976544,2025-12-02 15:56:16.544,11341,409,2,0
1764708976552,2025-12-02 15:56:16.552,11362,433,2,0
1764708976580,2025-12-02 15:56:16.580,11381,514,2,0
1764708976588,2025-12-02 15:56:16.588,11402,679,2,0
1764708976596,2025-12-02 15:56:16.596,11422,869,2,76
1764708976625,2025-12-02 15:56:16.625,11442,996,2,0
1764708976634,2025-12-02 15:56:16.634,11462,991,2,0
1764708976645,2025-12-02 15:56:16.645,11482,996,2,0
1764708976658,2025-12-02 15:56:16.658,11502,994,2,0
1764708976683,2025-12-02 15:56:16.683,11522,892,2,0
1764708976693,2025-12-02 15:56:16.693,11542,704,2,0
1764708976707,2025-12-02 15:56:16.707,11561,559,2,0
1764708976738,2025-12-02 15:56:16.738,11582,420,2,0
1764708976745,2025-12-02 15:56:16.745,11601,327,2,0
1764708976758,2025-12-02 15:56:16.758,11622,287,2,0
1764708976786,2025-12-02 15:56:16.786,11641,295,2,0
1764708976795,2025-12-02 15:56:16.795,11662,343,2,0
1764708976806,2025-12-02 15:56:16.806,11682,417,2,0
1764708976835,2025-12-02 15:56:16.835,11702,495,2,0
1764708976846,2025-12-02 15:56:16.846,11722,555,2,0
1764708976854,2025-12-02 15:56:16.854,11742,584,2,0
1764708976864,2025-12-02 15:56:16.864,11762,583,2,0
1764708976893,2025-12-02 15:56:16.893,11782,557,2,0
1764708976902,2025-12-02 15:56:16.902,11802,524,2,0
1764708976911,2025-12-02 15:56:16.911,11822,487,2,0
1764708976938,2025-12-02 15:56:16.938,11842,454,2,0
1764708976948,2025-12-02 15:56:16.948,11862,434,2,0
1764708976960,2025-12-02 15:56:16.960,11882,414,2,0
1764708976969,2025-12-02 15:56:16.969,11901,396,2,0
1764708976998,2025-12-02 15:56:16.998,11922,374,2,0
1764708977012,2025-12-02 15:56:17.012,11942,358,2,0
1764708977039,2025-12-02 15:56:17.039,11963,350,2,0
1764708977049,2025-12-02 15:56:17.049,11982,359,2,0
1764708977059,2025-12-02 15:56:17.059,12003,385,2,0
1764708977067,2025-12-02 15:56:17.067,12023,403,2,0
1764708977094,2025-12-02 15:56:17.094,12043,411,2,0
1764708977102,2025-12-02 15:56:17.102,12063,412,2,0
