frame,time,ROI,R,G,B
2,100.0,left lower lateral forehead,160.40225035161745,119.12236286919831,91.0365682137834
2,100.0,right lower lateral forehead,123.87748344370861,91.04415011037527,72.87306843267108
2,100.0,glabella,142.110964332893,104.35402906208719,86.17040951122853
2,100.0,upper nasal dorsum,142.9664948453608,102.23969072164948,82.58762886597938
2,100.0,lower nasal dorsum,224.91156462585033,169.14965986394557,140.17006802721087
2,100.0,soft triangle,197.6783625730994,142.16374269005848,120.67836257309942
2,100.0,left ala,213.41538461538462,156.58461538461538,129.55384615384617
2,100.0,right ala,198.14285714285714,140.18487394957984,118.52941176470588
2,100.0,nasal tip,227.57,170.38,142.28
2,100.0,left lower nasal sidewall,197.11111111111111,144.47619047619048,115.38095238095238
2,100.0,right lower nasal sidewall,182.42307692307693,131.6,109.3
2,100.0,left mid nasal sidewall,176.88235294117646,127.19607843137256,99.66666666666667
2,100.0,right mid nasal sidewall,169.93939393939394,122.41414141414141,99.47474747474747
2,100.0,philtrum,130.09947643979058,86.1413612565445,72.07853403141361
2,100.0,left upper lip,163.73504273504273,116.75213675213675,93.48717948717949
2,100.0,right upper lip,162.97674418604652,116.99418604651163,97.22093023255815
2,100.0,left nasolabial fold,177.89385474860336,128.49162011173183,105.08938547486034
2,100.0,right nasolabial fold,156.05785123966942,112.57851239669421,92.35950413223141
2,100.0,left temporal,185.59113300492612,143.77339901477833,111.21674876847291
2,100.0,right temporal,151.03698435277383,110.89331436699858,85.41394025604552
2,100.0,left malar,187.58333333333334,141.07835820895522,112.92039800995025
2,100.0,right malar,169.3479381443299,123.5008591065292,99.65549828178695
2,100.0,left lower cheek,168.8702163061564,127.42262895174709,101.49251247920134
2,100.0,right lower cheek,156.4180602006689,114.68394648829431,90.66973244147157
2,100.0,chin,128.60560344827587,90.16487068965517,69.58728448275862
2,100.0,left marionette fold,137.26037735849056,101.18490566037735,77.75849056603774
2,100.0,right marionette fold,125.65116279069767,89.08879492600423,68.94714587737843
3,150.0,lower medial forehead,100.6344262295082,74.8344262295082,61.239344262295084
3,150.0,left lower lateral forehead,160.41374474053296,119.13604488078542,90.97194950911641
3,150.0,right lower lateral forehead,122.95371367061357,90.38643702906352,72.45425188374597
3,150.0,glabella,143.31140939597316,105.21342281879194,87.06845637583892
3,150.0,upper nasal dorsum,145.4621409921671,104.38903394255874,84.61096605744126
3,150.0,lower nasal dorsum,224.52439024390245,168.84146341463415,139.3658536585366
3,150.0,soft triangle,189.43023255813952,135.3372093023256,115.04651162790698
3,150.0,left ala,207.21311475409837,150.70491803278688,124.52459016393442
3,150.0,right ala,195.640350877193,137.8684210526316,116.63157894736842
3,150.0,nasal tip,225.09,167.59,140.12
3,150.0,left lower nasal sidewall,194.24137931034483,141.82758620689654,113.12068965517241
3,150.0,right lower nasal sidewall,184.05839416058393,132.4160583941606,110.18978102189782
3,150.0,left mid nasal sidewall,176.30769230769232,127.21153846153847,99.15384615384616
3,150.0,right mid nasal sidewall,172.1263157894737,124.29473684210527,101.41052631578947
3,150.0,philtrum,133.56218905472636,88.11940298507463,73.28855721393035
3,150.0,left upper lip,160.99242424242425,113.81060606060606,90.3409090909091
3,150.0,right upper lip,154.37566137566137,109.32804232804233,89.58730158730158
3,150.0,left nasolabial fold,180.20967741935485,131.3709677419355,105.60752688172043
3,150.0,right nasolabial fold,156.78823529411764,113.67450980392157,93.31372549019608
3,150.0,left temporal,184.83644859813083,143.6448598130841,112.07009345794393
3,150.0,right temporal,145.89167767503304,106.92338177014531,82.3566710700132
3,150.0,left malar,187.1395061728395,140.9111111111111,112.65679012345679
3,150.0,right malar,169.06982343499197,123.20064205457464,99.3314606741573
3,150.0,left lower cheek,164.3014827018122,124.67380560131795,99.32619439868205
3,150.0,right lower cheek,155.31658692185007,113.93221690590111,89.88676236044657
3,150.0,chin,128.8326133909287,90.78617710583153,69.88120950323975
3,150.0,left marionette fold,137.2099644128114,101.29181494661921,78.5338078291815
3,150.0,right marionette fold,123.92258064516129,88.03870967741935,68.15053763440861
4,200.0,lower medial forehead,100.04677419354839,74.05806451612904,60.68225806451613
4,200.0,left lower lateral forehead,160.89857142857142,118.37142857142857,90.85428571428571
4,200.0,right lower lateral forehead,122.90968443960827,90.40043525571274,71.68770402611534
4,200.0,glabella,142.32493368700264,103.83554376657825,85.99867374005305
