PC_Timestamp_ms,PC_DateTime,Arduino_millis,Signal_Value,Package_Num,HR
1764709475441,2025-12-02 16:04:35.441,17084,369,0,97
1764709475445,2025-12-02 16:04:35.445,17107,449,0,0
1764709475447,2025-12-02 16:04:35.447,17127,466,0,0
1764709475448,2025-12-02 16:04:35.448,17147,429,0,0
1764709475463,2025-12-02 16:04:35.463,17167,367,0,0
1764709475468,2025-12-02 16:04:35.468,17187,299,0,0
1764709475495,2025-12-02 16:04:35.495,17207,237,0,0
1764709475505,2025-12-02 16:04:35.505,17227,194,0,0
1764709475516,2025-12-02 16:04:35.516,17247,173,0,0
1764709475545,2025-12-02 16:04:35.545,17267,176,0,0
1764709475557,2025-12-02 16:04:35.557,17288,190,0,0
1764709475566,2025-12-02 16:04:35.566,17307,210,0,0
1764709475598,2025-12-02 16:04:35.598,17328,233,0,0
1764709475611,2025-12-02 16:04:35.611,17347,253,0,0
1764709475620,2025-12-02 16:04:35.620,17368,275,0,0
1764709475648,2025-12-02 16:04:35.648,17387,289,0,0
1764709475656,2025-12-02 16:04:35.656,17408,302,0,0
1764709475663,2025-12-02 16:04:35.663,17427,316,0,0
1764709475675,2025-12-02 16:04:35.675,17447,320,0,0
1764709475710,2025-12-02 16:04:35.710,17467,315,0,0
1764709475719,2025-12-02 16:04:35.719,17487,303,0,0
1764709475727,2025-12-02 16:04:35.727,17507,293,0,0
1764709475758,2025-12-02 16:04:35.758,17527,325,0,0
1764709475767,2025-12-02 16:04:35.767,17548,481,0,0
1764709475777,2025-12-02 16:04:35.777,17567,794,0,94
1764709475808,2025-12-02 16:04:35.808,17588,994,0,0
1764709475818,2025-12-02 16:04:35.818,17607,991,0,0
1764709475850,2025-12-02 16:04:35.850,17628,995,0,0
1764709475861,2025-12-02 16:04:35.861,17647,994,0,0
1764709475872,2025-12-02 16:04:35.872,17668,994,0,0
1764709475881,2025-12-02 16:04:35.881,17687,993,0,0
1764709475912,2025-12-02 16:04:35.912,17708,993,0,0
1764709475923,2025-12-02 16:04:35.923,17727,994,0,0
1764709475957,2025-12-02 16:04:35.957,17747,993,0,0
1764709475966,2025-12-02 16:04:35.966,17768,780,0,0
1764709475977,2025-12-02 16:04:35.977,17787,444,0,0
