frame,time,ROI,BVP,BPM
4,200.0,philtrum,0.3691464557175027,42.48046875
4,200.0,left upper lip,1.2558938117885385,41.015625
4,200.0,right upper lip,-0.25793976733220697,153.80859375
4,200.0,left nasolabial fold,0.2764012552787539,41.015625
4,200.0,right nasolabial fold,0.30480806450845294,90.8203125
4,200.0,left temporal,0.18061010033119998,52.734375
4,200.0,right temporal,0.047986088075794624,108.3984375
4,200.0,left malar,0.6303619194891175,39.55078125
4,200.0,right malar,-0.13340930282332678,77.63671875
4,200.0,left lower cheek,0.5292847064717603,77.63671875
4,200.0,right lower cheek,-0.07036375286413134,62.98828125
4,200.0,chin,0.1406988169908265,123.046875
4,200.0,left marionette fold,0.15811884280530883,46.875
4,200.0,right marionette fold,-0.03192658850316662,64.453125
5,250.0,lower medial forehead,-0.16985773135657448,152.34375
5,250.0,left lower lateral forehead,-0.5884605153060516,43.9453125
5,250.0,right lower lateral forehead,0.1061748224426591,60.05859375
5,250.0,glabella,-0.2621895803179264,52.734375
5,250.0,upper nasal dorsum,-0.15081594822107894,55.6640625
5,250.0,lower nasal dorsum,0.14413647973914812,58.59375
5,250.0,soft triangle,0.09689806709806643,54.19921875
5,250.0,left ala,0.10744516445147045,55.6640625
5,250.0,right ala,0.1742091680091949,46.875
5,250.0,nasal tip,0.1997393585727731,61.5234375
5,250.0,left lower nasal sidewall,-0.1524947008880389,175.78125
5,250.0,right lower nasal sidewall,-0.09814488903232141,82.03125
5,250.0,left mid nasal sidewall,0.05994089637855665,76.171875
5,250.0,right mid nasal sidewall,-0.5666646074472691,95.21484375
5,250.0,philtrum,0.45432318776464126,42.48046875
5,250.0,left upper lip,1.4843049188120017,41.015625
5,250.0,right upper lip,-0.345398182537719,153.80859375
5,250.0,left nasolabial fold,0.34564544118494844,41.015625
5,250.0,right nasolabial fold,0.3650928298612149,90.8203125
5,250.0,left temporal,0.18839596705573367,52.734375
5,250.0,right temporal,0.07408795172008056,108.3984375
5,250.0,left malar,0.7457317119500344,39.55078125
5,250.0,right malar,-0.15362531996694323,77.63671875
5,250.0,left lower cheek,0.6189199078229555,77.63671875
