frame,time,ROI,BVP,BPM
4,200.0,philtrum,0.36362845434278457,42.48046875
4,200.0,left upper lip,1.3902068527943898,41.015625
4,200.0,right upper lip,-0.2545757512263846,153.80859375
4,200.0,left nasolabial fold,0.2833075325873329,41.015625
4,200.0,right nasolabial fold,0.3059518198671925,89.35546875
4,200.0,left temporal,0.1842612218411738,52.734375
4,200.0,right temporal,0.048004368552749754,108.3984375
4,200.0,left malar,0.6272178733845603,39.55078125
4,200.0,right malar,-0.13494624488705959,77.63671875
4,200.0,left lower cheek,0.524911927157883,79.1015625
4,200.0,right lower cheek,-0.06980488254874732,62.98828125
4,200.0,chin,0.13834660247665662,123.046875
4,200.0,left marionette fold,0.16045565598639086,46.875
4,200.0,right marionette fold,-0.026560902794153747,64.453125
5,250.0,lower medial forehead,-0.16804326268287922,152.34375
5,250.0,left lower lateral forehead,-0.5846004866580574,45.41015625
5,250.0,right lower lateral forehead,0.11397105280907838,60.05859375
5,250.0,glabella,-0.26178083493818427,52.734375
5,250.0,upper nasal dorsum,-0.1506606080855607,55.6640625
5,250.0,lower nasal dorsum,0.14274599864528392,58.59375
5,250.0,soft triangle,0.09820515189798198,54.19921875
5,250.0,left ala,0.1085862790253706,55.6640625
5,250.0,right ala,0.18523341923863262,46.875
5,250.0,nasal tip,0.19591104669983941,61.5234375
5,250.0,left lower nasal sidewall,-0.13995280540959304,175.78125
5,250.0,right lower nasal sidewall,-0.092494286125704,82.03125
5,250.0,left mid nasal sidewall,0.06114529705218971,76.171875
5,250.0,right mid nasal sidewall,-0.5651393938754564,95.21484375
5,250.0,philtrum,0.4479712144193623,42.48046875
5,250.0,left upper lip,1.6433360911414836,41.015625
5,250.0,right upper lip,-0.34132557869032326,153.80859375
5,250.0,left nasolabial fold,0.3537680725685356,41.015625
5,250.0,right nasolabial fold,0.3665450397626177,89.35546875
5,250.0,left temporal,0.19241347938188053,52.734375
5,250.0,right temporal,0.07418149740082046,108.3984375
5,250.0,left malar,0.7421433599905222,39.55078125
5,250.0,right malar,-0.1554539432144581,77.63671875
5,250.0,left lower cheek,0.6146861499885912,79.1015625
5,250.0,right lower cheek,-0.09709056532082565,62.98828125
5,250.0,chin,0.17699780693569162,123.046875
5,250.0,left marionette fold,0.20241628113015858,46.875
5,250.0,right marionette fold,-0.011068097363909816,64.453125
6,300.0,lower medial forehead,-0.17286232903097346,152.34375
6,300.0,left lower lateral forehead,-0.6107889835813001,45.41015625
6,300.0,right lower lateral forehead,0.13269870522211588,60.05859375
6,300.0,glabella,-0.27236437286414594,52.734375
6,300.0,upper nasal dorsum,-0.1297637527684323,55.6640625
6,300.0,lower nasal dorsum,0.16119601759547092,58.59375
6,300.0,soft triangle,0.13189578763127083,54.19921875
6,300.0,left ala,0.14930839039813001,55.6640625
6,300.0,right ala,0.1577153139236837,46.875
6,300.0,nasal tip,0.21451679701878937,61.5234375
6,300.0,left lower nasal sidewall,-0.0909554242149583,175.78125
6,300.0,right lower nasal sidewall,-0.122612385907991,82.03125
6,300.0,left mid nasal sidewall,0.035747571123215194,76.171875
6,300.0,right mid nasal sidewall,-0.6160259075305441,95.21484375
6,300.0,philtrum,0.4993610413506358,42.48046875
6,300.0,left upper lip,1.7391576896385808,41.015625
6,300.0,right upper lip,-0.4266153881748105,153.80859375
6,300.0,left nasolabial fold,0.38657879053133637,41.015625
6,300.0,right nasolabial fold,0.3925300730674931,89.35546875
6,300.0,left temporal,0.1541450996034302,52.734375
6,300.0,right temporal,0.10371746503182039,108.3984375
6,300.0,left malar,0.7849096843519414,39.55078125
6,300.0,right malar,-0.15664711683525942,77.63671875
6,300.0,left lower cheek,0.6344191858642593,79.1015625
6,300.0,right lower cheek,-0.12499832421807833,62.98828125
6,300.0,chin,0.1992857823138122,123.046875
6,300.0,left marionette fold,0.2335044040209053,46.875
6,300.0,right marionette fold,0.01699809458409978,64.453125
